,subject,video_id,length
0,4,4_1a,202
1,1,1_2b,93
2,6,6_2a,199
3,4,4_2a,202
4,1,1_1a_3,195
5,5,5_1b,157
6,1,1_2a,266
7,6,6_2b,155
8,1,1_1b,97
9,2,2_2a,266
10,2,2_1a,266
11,4,4_1c,197
12,2,2_2b,95
13,4,4_1d,166
14,2,2_1b,108
15,5,5_2a,201
16,3,3_1a,201
17,3,3_1c,198
18,4,4_2b,162
19,5,5_2b,156
20,5,5_1a,202
21,1,1_1a_1,45
22,4,4_1b,161
23,1,1_1a_2,26
24,3,3_1d,170
25,3,3_1b,162
26,4,4_3a,173
27,5,5_3b,59
28,2,2_4,143
29,6,6_6a_1,89
30,2,2_3b_2,23
31,3,3_5b,35
32,5,5_4a,171
33,2,2_3b_1,23
34,1,1_4,179
35,3,3_3a,144
36,5,5_5b_1,53
37,1,1_5_1,100
38,6,6_6a_2,39
39,5,5_5a,166
40,6,6_4a,183
41,4,4_4a,94
42,5,5_5b_2,83
43,1,1_3b,47
44,1,1_3a_2,89
45,2,2_3a_1,167
46,1,1_3a_1,233
47,3,3_3b,75
48,1,1_5_2,53
49,3,3_4a,101
50,2,2_3a_2,113
