,Video_ID,Nb_Frames
0,ll042t1aaaff,683
1,ll042t1aaunaff,187
2,ll042t1aeunaff,155
3,ll042t1afaff,350
4,ll042t1afunaff,128
5,ll042t1aiaff,168
6,ll042t1aiunaff,143
7,ll042t2afaff,320
8,jh043t1aeaff,103
9,jh043t1afaff,161
10,jh043t2aaaff,163
11,jh043t2aaunaff,119
12,jh043t2aeaff,167
13,jh043t2aeunaff,100
14,jh043t2afaff,124
15,jh043t2afunaff,84
16,jh043t2aiunaff,99
17,jl047t1aaaff,245
18,jl047t1aaunaff,154
19,jl047t1afunaff,139
20,jl047t1aiaff,465
21,jl047t1aiunaff,197
22,jl047t2aeunaff,180
23,jl047t2afaff,228
24,aa048t2aaunaff,111
25,aa048t2aeaff,174
26,aa048t2aeunaff,48
27,aa048t2afaff,162
28,aa048t2afunaff,96
29,aa048t2aiaff,231
30,aa048t2aiunaff,72
31,bm049t1aaaff,495
32,bm049t1afaff,345
33,bm049t2aaaff,330
34,bm049t2aaunaff,315
35,bm049t2aeaff,427
36,bm049t2aeunaff,233
37,bm049t2afaff,352
38,bm049t2afunaff,255
39,dr052t1aeaff,374
40,dr052t1aeunaff,165
41,dr052t1afaff,211
42,dr052t1afunaff,168
43,dr052t1aiaff,468
44,dr052t1aiunaff,135
45,dr052t2aaaff,226
46,dr052t2aeaff,235
47,dr052t2aeunaff,159
48,dr052t2aiaff,468
49,fn059t2afunaff,405
50,fn059t2aiaff,368
51,ak064t1aaaff,397
52,ak064t1aeunaff,308
53,ak064t1afaff,337
54,ak064t1afunaff,142
55,ak064t1aiaff,263
56,ak064t1aiunaff,165
57,mg066t1aaaff,405
58,mg066t1aeaff,375
59,mg066t1afaff,450
60,mg066t1afunaff,157
61,mg066t2aaunaff,172
62,mg066t2aeaff,262
63,mg066t2aeunaff,195
64,mg066t2afaff,458
65,bn080t1aaaff,382
66,bn080t1aaunaff,240
67,bn080t1aeaff,352
68,bn080t1aeunaff,203
69,bn080t1afaff,382
70,bn080t1afunaff,247
71,bn080t1aiunaff,232
72,ch092t1aiaff,465
73,ch092t2aaaff,197
74,ch092t2aeaff,225
75,ch092t2afaff,240
76,ch092t2aiaff,375
77,tv095t1afaff,300
78,tv095t2aeunaff,217
79,tv095t2afaff,292
80,bg096t1aaaff,330
81,bg096t1aeaff,285
82,bg096t1aeunaff,217
83,bg096t1afaff,285
84,bg096t2aaaff,232
85,bg096t2aaunaff,225
86,bg096t2aeunaff,225
87,bg096t2afaff,307
88,bg096t2afunaff,255
89,gf097t1aaaff,518
90,gf097t1aaunaff,255
91,gf097t1aeaff,225
92,gf097t1aeunaff,300
93,gf097t1afaff,247
94,gf097t1afunaff,180
95,gf097t1aiaff,345
96,gf097t1aiunaff,240
97,gf097t2aaunaff,203
98,gf097t2aeunaff,157
99,gf097t2afaff,187
100,gf097t2afunaff,165
101,gf097t2aiaff,150
102,gf097t2aiunaff,188
103,mg101t1aiaff,615
104,mg101t2aaaff,347
105,mg101t2aaunaff,225
106,mg101t2aeaff,300
107,mg101t2aeunaff,261
108,mg101t2afaff,270
109,mg101t2afunaff,138
110,mg101t2aiaff,438
111,mg101t2aiunaff,225
112,jk103t1aaaff,233
113,jk103t1aaunaff,150
114,jk103t1aeaff,277
115,jk103t1aeunaff,195
116,jk103t1afaff,225
117,jk103t1afunaff,165
118,jk103t1aiaff,510
119,jk103t1aiunaff,225
120,jk103t2aaaff,217
121,jk103t2aaunaff,105
122,jk103t2aeaff,232
123,jk103t2aeunaff,210
124,jk103t2afaff,210
125,jk103t2afunaff,135
126,jk103t2aiaff,300
127,jk103t2aiunaff,203
128,nm106t1aaaff,338
129,nm106t1aaunaff,210
130,nm106t1aeaff,233
131,nm106t1aeunaff,173
132,nm106t1afaff,352
133,nm106t1afunaff,120
134,nm106t1aiunaff,217
135,nm106t2aaaff,240
136,nm106t2aaunaff,142
137,nm106t2aeaff,210
138,nm106t2aeunaff,98
139,nm106t2afunaff,150
140,nm106t2aiaff,165
141,nm106t2aiunaff,150
142,hs107t1aeaff,225
143,hs107t1aeunaff,225
144,hs107t1afaff,285
145,hs107t1afunaff,263
146,hs107t2aaaff,412
147,hs107t2aaunaff,338
148,hs107t2aeunaff,143
149,hs107t2aiunaff,150
150,th108t1aaaff,264
151,th108t1aaunaff,150
152,th108t1aeaff,285
153,th108t1afaff,368
154,th108t1afunaff,112
155,th108t1aiaff,352
156,th108t1aiunaff,194
157,th108t2aaunaff,165
158,th108t2aeaff,262
159,th108t2afaff,277
160,th108t2afunaff,127
161,th108t2aiaff,195
162,th108t2aiunaff,157
163,ib109t1aaaff,247
164,ib109t1aeaff,315
165,ib109t1aeunaff,218
166,ib109t1afaff,255
167,ib109t1afunaff,188
168,ib109t1aiaff,322
169,ib109t1aiunaff,202
170,ib109t2aeaff,158
171,jy115t1aaaff,412
172,jy115t1aaunaff,173
173,jy115t1aeaff,292
174,jy115t2aaaff,225
175,jy115t2aeaff,225
176,kz120t1aaaff,382
177,kz120t1aeaff,292
178,kz120t1afunaff,210
179,kz120t2aaaff,135
180,kz120t2aaunaff,75
181,kz120t2aeaff,180
182,kz120t2aeunaff,157
183,kz120t2afunaff,135
184,vw121t1aaaff,180
185,vw121t1aeaff,203
186,vw121t1aiaff,135
187,jh123t1aaunaff,68
188,jh123t1aeaff,359
189,jh123t1aeunaff,195
190,jh123t1afaff,180
191,jh123t2aaaff,186
192,jh123t2aeaff,195
193,dn124t1aaaff,233
194,dn124t1aaunaff,127
195,dn124t1aeaff,360
196,dn124t1aeunaff,90
197,dn124t1afaff,255
198,dn124t1afunaff,210
199,dn124t1aiaff,420
