,submitted,sifferkod,gender,years_active_as_vet,use_painscale_at_work,practice_question,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,q19,q20,q21,q22,q23,q24,q25
0,2020-10-11 20:21:57 UTC,302,Kvinna,6-10 år,"I enstaka fall, ej rutinmässigt",0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
1,2020-10-09 05:56:03 UTC,318,Kvinna,6-10 år,Aldrig,0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,3.0,6.0,6.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2,2020-10-07 19:21:43 UTC,385,Kvinna,11-20 år,"I enstaka fall, ej rutinmässigt",7,3.0,0.0,8.0,9.0,0.0,0.0,1.0,0.0,3.0,6.0,6.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,2.0,5.0,8.0
3,2020-10-06 20:07:42 UTC,336,Kvinna,11-20 år,Veckovis,7,3.0,0.0,5.0,2.0,1.0,3.0,0.0,6.0,7.0,6.0,7.0,0.0,4.0,4.0,2.0,6.0,8.0,0.0,0.0,4.0,0.0,6.0,2.0,5.0,6.0
4,2020-10-06 19:09:58 UTC,455,Kvinna,2-5 år,Månadsvis,5,3.0,0.0,8.0,3.0,0.0,0.0,0.0,5.0,4.0,8.0,9.0,2.0,8.0,9.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0
5,2020-10-06 19:05:20 UTC,448,Kvinna,6-10 år,"I enstaka fall, ej rutinmässigt",3,1.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,2.0,3.0,5.0,2.0,5.0,6.0,4.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
6,2020-10-06 17:56:10 UTC,384,Kvinna,över 20 år,"I enstaka fall, ej rutinmässigt",2,0.0,4.0,5.0,6.0,0.0,1.0,5.0,7.0,3.0,5.0,8.0,1.0,5.0,6.0,5.0,4.0,3.0,1.0,0.0,4.0,0.0,4.0,4.0,2.0,6.0
7,2020-10-06 17:50:36 UTC,472,Kvinna,över 20 år,"I enstaka fall, ej rutinmässigt",8,8.0,3.0,2.0,8.0,0.0,0.0,2.0,6.0,8.0,4.0,7.0,8.0,6.0,5.0,3.0,6.0,7.0,0.0,3.0,0.0,4.0,7.0,4.0,3.0,6.0
8,2020-10-06 10:56:14 UTC,395,Kvinna,över 20 år,Veckovis,4,3.0,0.0,7.0,0.0,0.0,1.0,0.0,8.0,9.0,5.0,6.0,2.0,7.0,7.0,3.0,4.0,3.0,4.0,0.0,1.0,6.0,1.0,2.0,6.0,7.0
9,2020-10-06 10:45:32 UTC,322,Man,6-10 år,"I enstaka fall, ej rutinmässigt",0,4.0,3.0,8.0,5.0,3.0,8.0,0.0,10.0,8.0,2.0,10.0,1.0,4.0,10.0,7.0,0.0,10.0,0.0,0.0,6.0,3.0,6.0,0.0,2.0,6.0
10,2020-10-06 08:57:03 UTC,355,Kvinna,över 20 år,Månadsvis,4,2.0,0.0,1.0,0.0,5.0,0.0,6.0,8.0,8.0,8.0,8.0,0.0,0.0,5.0,6.0,2.0,8.0,0.0,0.0,8.0,0.0,4.0,0.0,6.0,7.0
11,2020-10-06 08:27:22 UTC,486,Kvinna,11-20 år,"I enstaka fall, ej rutinmässigt",7,3.0,1.0,2.0,4.0,0.0,1.0,1.0,3.0,6.0,5.0,7.0,3.0,4.0,5.0,5.0,6.0,6.0,1.0,0.0,4.0,1.0,5.0,0.0,3.0,7.0
12,2020-10-06 06:37:36 UTC,436,Kvinna,2-5 år,Veckovis,4,2.0,3.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,4.0,4.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0
13,2020-10-05 16:19:01 UTC,345,Kvinna,6-10 år,Månadsvis,8,2.0,6.0,3.0,3.0,0.0,2.0,0.0,5.0,0.0,7.0,8.0,1.0,3.0,6.0,3.0,1.0,4.0,0.0,1.0,6.0,0.0,3.0,2.0,2.0,9.0
14,2020-10-05 13:41:39 UTC,313,Kvinna,11-20 år,"I enstaka fall, ej rutinmässigt",7,6.0,0.0,0.0,5.0,0.0,0.0,5.0,7.0,7.0,0.0,8.0,6.0,5.0,8.0,3.0,5.0,0.0,0.0,3.0,6.0,2.0,7.0,0.0,4.0,7.0
15,2020-10-05 08:50:46 UTC,431,Kvinna,11-20 år,Månadsvis,4,3.0,0.0,2.0,0.0,1.0,1.0,5.0,7.0,6.0,0.0,4.0,4.0,5.0,4.0,6.0,7.0,6.0,0.0,1.0,6.0,0.0,3.0,4.0,3.0,5.0
16,2020-10-04 16:18:01 UTC,347,Kvinna,över 20 år,"I enstaka fall, ej rutinmässigt",5,4.0,0.0,3.0,7.0,0.0,2.0,0.0,4.0,7.0,4.0,8.0,4.0,7.0,7.0,5.0,5.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,8.0
17,2020-10-04 08:20:04 UTC,465,Kvinna,över 20 år,"I enstaka fall, ej rutinmässigt",6,1.0,0.0,2.0,0.0,0.0,0.0,2.0,5.0,3.0,6.0,3.0,2.0,4.0,3.0,6.0,7.0,8.0,2.0,0.0,5.0,0.0,3.0,4.0,0.0,8.0
18,2020-10-03 09:43:26 UTC,394,Kvinna,6-10 år,Dagligen,6,5.0,2.0,7.0,4.0,0.0,0.0,0.0,7.0,0.0,3.0,8.0,2.0,5.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0,2.0,0.0,2.0,2.0,6.0
19,2020-10-03 04:01:24 UTC,437,Kvinna,11-20 år,Aldrig,4,0.0,5.0,2.0,7.0,0.0,1.0,0.0,5.0,2.0,9.0,8.0,0.0,3.0,8.0,6.0,8.0,9.0,6.0,0.0,9.0,0.0,3.0,1.0,0.0,7.0
20,2020-10-02 11:37:20 UTC,464,Kvinna,11-20 år,"I enstaka fall, ej rutinmässigt",6,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,4.0,8.0,4.0,5.0,5.0,5.0,5.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0
21,2020-10-01 17:36:19 UTC,497,Kvinna,6-10 år,"I enstaka fall, ej rutinmässigt",3,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,3.0,6.0,3.0,5.0,6.0,5.0,2.0,2.0,0.0,0.0,4.0,2.0,1.0,1.0,0.0,6.0
22,2020-09-30 19:31:12 UTC,323,Kvinna,över 20 år,Dagligen,4,0.0,0.0,2.0,4.0,0.0,0.0,3.0,5.0,5.0,3.0,7.0,4.0,3.0,4.0,3.0,5.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,3.0,5.0
23,2020-09-30 15:45:29 UTC,376,Kvinna,11-20 år,Dagligen,8,3.0,0.0,6.0,6.0,0.0,0.0,0.0,8.0,7.0,6.0,10.0,2.0,5.0,6.0,4.0,4.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,7.0
24,2020-09-30 09:37:26 UTC,444,Man,över 20 år,Dagligen,6,2.0,0.0,4.0,7.0,0.0,2.0,0.0,3.0,3.0,5.0,7.0,2.0,3.0,7.0,5.0,4.0,8.0,1.0,0.0,1.0,4.0,2.0,0.0,6.0,6.0
25,2020-09-29 18:48:55 UTC,332,Kvinna,11-20 år,"I enstaka fall, ej rutinmässigt",3,3.0,0.0,4.0,3.0,0.0,1.0,1.0,5.0,5.0,3.0,5.0,2.0,4.0,3.0,1.0,2.0,3.0,4.0,0.0,0.0,3.0,1.0,1.0,4.0,4.0
26,2020-09-29 15:17:20 UTC,317,Kvinna,6-10 år,Veckovis,3,5.0,0.0,6.0,0.0,0.0,0.0,2.0,5.0,7.0,6.0,5.0,5.0,6.0,7.0,3.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,6.0
27,2020-09-29 07:29:50 UTC,467,Kvinna,6-10 år,"I enstaka fall, ej rutinmässigt",4,3.0,1.0,5.0,6.0,3.0,5.0,6.0,9.0,7.0,4.0,6.0,3.0,7.0,7.0,6.0,4.0,7.0,2.0,1.0,4.0,2.0,3.0,8.0,5.0,8.0
29,nan,gt,gender,0,no,no,2.0,2.0,4.33,4.67,3.67,1.33,4.33,6.33,3.0,2.0,1.0,4.33,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
